Name,Album,Artist,Popular_date,Release_date,Length,Popularity,Danceability,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature
The Monster,The Marshall Mathers LP2,Eminem,2014,2013-11-05,250188,75,0.781,0.0525,0.781,0.853,0.0,0.12,-3.68,0.0715,110.049,4
Say Something,Is There Anybody Out There?,A Great Big World,2014,2014-01-20,229400,77,0.407,0.857,0.407,0.147,2.89E-06,0.0913,-8.822,0.0355,141.284,3
Team,Pure Heroine,Lorde,2014,2013-09-27,193058,75,0.69,0.167,0.69,0.578,0.0,0.305,-7.436,0.0929,99.961,4
Let Her Go,All the Little Lights,Passenger,2014,2012-06-29,252733,2,0.479,0.365,0.479,0.545,0.0,0.0963,-7.346,0.0688,74.897,4
Royals,Pure Heroine,Lorde,2014,2013-09-27,190185,76,0.674,0.121,0.674,0.428,0.0,0.132,-9.504,0.122,84.878,4
Uptown Funk (feat. Bruno Mars),Uptown Special,Mark Ronson,2015,2015-01-12,269666,81,0.856,0.00801,0.856,0.609,8.15E-05,0.0344,-7.223,0.0824,114.988,4
Thinking out Loud,x (Deluxe Edition),Ed Sheeran,2015,2014-06-21,281560,84,0.781,0.474,0.781,0.445,0.0,0.184,-6.061,0.0295,78.998,4
See You Again (feat. Charlie Puth),See You Again (feat. Charlie Puth),Wiz Khalifa,2015,2015-03-10,229525,1,0.689,0.369,0.689,0.481,1.03E-06,0.0649,-7.503,0.0815,80.025,4
Trap Queen,Fetty Wap (Deluxe),Fetty Wap,2015,2015-09-25,222093,74,0.746,0.0244,0.746,0.873,0.0,0.354,-3.803,0.128,148.075,4
Sugar,V,Maroon 5,2015,2014-09-02,235493,80,0.748,0.0591,0.748,0.788,0.0,0.0863,-7.055,0.0334,120.076,4
Shut Up and Dance,TALKING IS HARD,WALK THE MOON,2015,2014-12-02,199080,80,0.578,0.00701,0.578,0.866,0.0,0.257,-3.804,0.0619,128.038,4
Blank Space,1989,Taylor Swift,2015,2014-10-27,231826,71,0.752,0.085,0.752,0.678,1.64E-06,0.13,-5.421,0.0646,96.009,4
Watch Me (Whip / Nae Nae),Watch Me (Whip / Nae Nae),Silentó,2015,2015-05-04,185142,66,0.821,0.247,0.821,0.759,0.0,0.321,-8.541,0.121,140.01,4
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",Fifty Shades Of Grey (Original Motion Picture Soundtrack),Various Artists,2015,2015-02-10,250973,51,0.667,0.397,0.667,0.342,0.0,0.0945,-5.93,0.0325,119.882,3
The Hills,Beauty Behind The Madness,The Weeknd,2015,2015-08-28,242253,84,0.585,0.0671,0.585,0.564,0.0,0.135,-7.063,0.0515,113.003,4
Cheerleader - Felix Jaehn Remix Radio Edit,Me 4 U,OMI,2015,2015-10-16,180560,64,0.78,0.141,0.78,0.68,1.2E-05,0.138,-6.081,0.0305,118.026,4
Can't Feel My Face,Beauty Behind The Madness,The Weeknd,2015,2015-08-28,213520,79,0.705,0.113,0.705,0.769,0.0,0.105,-5.526,0.0425,107.949,4
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Delirium (Deluxe),Ellie Goulding,2015,2015-11-13,252534,57,0.475,0.247,0.475,0.606,0.0,0.125,-6.646,0.0346,94.994,4
Take Me to Church,Hozier,Hozier,2015,2014-10-07,241693,68,0.575,0.637,0.575,0.664,0.0,0.116,-5.303,0.0481,129.07,4
Bad Blood,Bad Blood,Taylor Swift,2015,2015-05-17,200106,66,0.654,0.0294,0.654,0.655,0.0,0.139,-7.388,0.106,170.16,4
Lean On (feat. MØ & DJ Snake),Peace Is The Mission,Major Lazer,2015,2015-06-01,176561,0,0.723,0.00346,0.723,0.809,0.00123,0.565,-3.081,0.0625,98.007,4
Want to Want Me,Everything Is 4,Jason Derulo,2015,2015-05-29,207719,76,0.775,0.00906,0.775,0.68,0.0,0.109,-5.508,0.0629,114.025,4
Shake It Off,1989,Taylor Swift,2015,2014-10-27,219200,69,0.648,0.0561,0.648,0.785,0.0,0.148,-5.414,0.165,160.02,4
Where Are Ü Now (with Justin Bieber),Skrillex and Diplo present Jack Ü,Jack Ü,2015,2015-02-24,250285,75,0.432,0.041,0.432,0.781,4.21E-06,0.0789,-4.038,0.0567,139.432,4
Fight Song,Wildfire,Rachel Platten,2015,2016-01-01,204013,80,0.564,0.0549,0.564,0.714,0.0,0.155,-4.987,0.129,175.924,4
Love Yourself,Purpose (Deluxe),Justin Bieber,2016,2015-11-13,233720,82,0.609,0.835,0.609,0.378,0.0,0.28,-9.828,0.438,100.418,4
Sorry,Purpose (Deluxe),Justin Bieber,2016,2015-11-13,200786,82,0.654,0.0797,0.654,0.76,0.0,0.299,-3.669,0.045,99.945,4
One Dance,Views,Drake,2016,2016-05-13,173986,65,0.792,0.00776,0.792,0.625,0.00188,0.329,-5.609,0.0536,103.967,4
Work,ANTI,Rihanna,2016,2016-01-28,219320,5,0.725,0.0752,0.725,0.534,0.0,0.0919,-6.238,0.0946,91.974,4
Stressed Out,Blurryface,Twenty One Pilots,2016,2015-05-15,202333,84,0.734,0.0462,0.734,0.637,2.29E-05,0.0602,-5.677,0.141,169.977,4
Panda,New English,Desiigner,2016,2016-06-26,246761,74,0.576,0.028,0.576,0.766,1.68E-06,0.366,-4.943,0.449,144.833,4
Hello,25,Adele,2016,2016-06-24,295493,72,0.481,0.336,0.481,0.451,0.0,0.0872,-6.095,0.0347,157.966,4
Don't Let Me Down,Collage EP,The Chainsmokers,2016,2016-11-04,208666,57,0.534,0.187,0.534,0.868,0.0032,0.148,-5.057,0.205,159.763,4
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",TROLLS (Original Motion Picture Soundtrack),Trolls,2016,2016-09-23,237546,73,0.669,0.0106,0.669,0.832,0.0,0.0968,-5.72,0.0682,113.035,4
Closer,Collage EP,The Chainsmokers,2016,2016-11-04,245506,59,0.738,0.415,0.738,0.541,0.0,0.11,-5.597,0.0303,94.949,4
Cheap Thrills,This Is Acting,Sia,2016,2016-01-29,211666,77,0.628,0.0472,0.628,0.698,0.00143,0.0907,-5.608,0.105,89.976,4
7 Years,Lukas Graham,Lukas Graham,2016,2016-04-01,237300,80,0.765,0.287,0.765,0.473,0.0,0.391,-5.829,0.0514,119.992,4
Needed Me,ANTI,Rihanna,2016,2016-01-28,191600,2,0.671,0.11,0.671,0.314,0.0,0.0825,-8.091,0.244,110.898,4
My House,My House,Flo Rida,2016,2015-04-07,192190,76,0.688,0.0215,0.688,0.702,0.0,0.128,-4.792,0.0499,94.006,4
I Took A Pill In Ibiza - Seeb Remix,"At Night, Alone.",Mike Posner,2016,2016-05-06,197933,71,0.664,0.0353,0.664,0.714,8.42E-06,0.0843,-6.645,0.111,101.969,4
Work from Home (feat. Ty Dolla $ign),7/27 (Deluxe),Fifth Harmony,2016,2016-05-27,214480,78,0.803,0.103,0.803,0.585,3.94E-06,0.0644,-5.861,0.0432,105.017,4
This Is What You Came For (feat. Rihanna),This Is What You Came For (feat. Rihanna),Calvin Harris,2016,2016-04-29,222160,79,0.63,0.199,0.63,0.928,0.124,0.148,-2.787,0.0331,123.963,4
Cake By The Ocean,DNCE,DNCE,2016,2016-11-18,219146,79,0.774,0.152,0.774,0.753,0.0,0.0371,-5.446,0.0517,119.002,4
"Me, Myself & I",When It's Dark Out,G-Eazy,2016,2015-12-04,251466,76,0.756,0.0184,0.756,0.674,0.0,0.158,-6.518,0.0959,111.995,4
Ride,Blurryface,Twenty One Pilots,2016,2015-05-15,214506,81,0.645,0.00835,0.645,0.713,0.0,0.113,-5.355,0.0393,74.989,4
Shape of You,÷ (Deluxe),Ed Sheeran,2017,2017-03-03,233712,85,0.825,0.581,0.825,0.652,0.0,0.0931,-3.183,0.0802,95.977,4
Despacito - Remix,Despacito Feat. Justin Bieber (Remix),Luis Fonsi,2017,2017-04-17,228826,73,0.653,0.228,0.653,0.816,0.0,0.0967,-4.353,0.167,178.085,4
That's What I Like,24K Magic,Bruno Mars,2017,2016-11-17,206693,81,0.853,0.013,0.853,0.56,0.0,0.0944,-4.961,0.0406,134.066,4
HUMBLE.,DAMN.,Kendrick Lamar,2017,2017-04-14,177000,82,0.908,0.000282,0.908,0.621,5.39E-05,0.0958,-6.638,0.102,150.011,4
Something Just Like This,Memories...Do Not Open,The Chainsmokers,2017,2017-04-07,247160,83,0.617,0.0498,0.617,0.635,1.44E-05,0.164,-6.769,0.0317,103.019,4
Bad and Boujee (feat. Lil Uzi Vert),Culture,Migos,2017,2017-01-27,343150,76,0.927,0.061,0.927,0.665,0.0,0.123,-5.313,0.244,127.076,4
Closer,Closer,The Chainsmokers,2017,2016-07-29,244960,84,0.748,0.414,0.748,0.524,0.0,0.111,-5.599,0.0338,95.01,4
Body Like A Back Road,Body Like A Back Road,Sam Hunt,2017,2017-02-01,165386,74,0.732,0.447,0.732,0.458,0.0,0.136,-7.225,0.0311,98.938,4
Believer,Evolve,Imagine Dragons,2017,2017-06-23,204346,3,0.772,0.0512,0.772,0.78,0.0,0.119,-4.288,0.108,124.988,4
Congratulations,Stoney (Deluxe),Post Malone,2017,2016-12-09,220293,82,0.63,0.215,0.63,0.804,0.0,0.253,-4.183,0.0363,123.146,4
Say You Won't Let Go,Back from the Edge,James Arthur,2017,2016-10-28,211466,86,0.358,0.695,0.358,0.557,0.0,0.0902,-7.398,0.059,85.043,4
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",Grateful,DJ Khaled,2017,2017-06-22,288876,67,0.599,0.0533,0.599,0.667,0.0,0.134,-4.267,0.0367,80.984,4
XO Tour Llif3,Luv Is Rage 2,Lil Uzi Vert,2017,2017-08-25,182706,84,0.732,0.00264,0.732,0.75,0.0,0.109,-6.366,0.231,155.096,4
Mask Off,FUTURE,Future,2017,2017-06-30,204600,80,0.833,0.0102,0.833,0.434,0.0219,0.165,-8.795,0.431,150.062,4
Unforgettable,Jungle Rules,French Montana,2017,2017-07-14,233901,80,0.726,0.0293,0.726,0.769,0.0101,0.104,-5.043,0.123,97.985,4
24K Magic,24K Magic,Bruno Mars,2017,2016-11-17,225983,78,0.818,0.034,0.818,0.803,0.0,0.153,-4.282,0.0797,106.97,4
Stay,Stay,Zedd,2017,2017-02-23,210090,77,0.69,0.253,0.69,0.622,0.0,0.116,-5.025,0.0622,102.04,4
Wild Thoughts (feat. Rihanna & Bryson Tiller),Grateful,DJ Khaled,2017,2017-06-22,204664,65,0.613,0.0287,0.613,0.681,0.0,0.126,-3.089,0.0778,97.621,4
Black Beatles,SremmLife 2 (Deluxe),Rae Sremmurd,2017,2016-08-12,291893,76,0.794,0.142,0.794,0.632,0.0,0.128,-6.163,0.0649,145.926,4
Starboy,Starboy,The Weeknd,2017,2016-11-25,230453,83,0.679,0.141,0.679,0.587,6.35E-06,0.137,-7.015,0.276,186.003,4
God's Plan,Scorpion,Drake,2018,2018-06-29,198973,83,0.754,0.0332,0.754,0.449,8.29E-05,0.552,-9.211,0.109,77.169,4
Perfect,÷ (Deluxe),Ed Sheeran,2018,2017-03-03,263400,87,0.599,0.163,0.599,0.448,0.0,0.106,-6.312,0.0232,95.05,3
Meant to Be (feat. Florida Georgia Line),All Your Fault: Pt. 2,Bebe Rexha,2018,2017-08-11,163870,78,0.643,0.047,0.643,0.783,0.0,0.083,-6.458,0.0856,154.084,4
