Name,Album,Artist,Popular_date,Length,Danceability,Acousticness,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature,k_cluster
Love Machine,City Of Angels,The Miracles,1976,415133,0.7390000000000001,0.165,0.9840000000000001,0.00028700000000000004,0.0294,-4.52,0.0829,144.877,4,1
50 Ways to Leave Your Lover,Still Crazy After All These Years,Paul Simon,1976,217346,0.815,0.166,0.37200000000000005,0.00011599999999999999,0.0767,-12.814,0.0752,101.684,4,1
Love Is Alive,The Dream Weaver,Gary Wright,1976,230106,0.77,0.0614,0.5529999999999999,0.00106,0.10300000000000001,-13.632,0.0268,98.346,4,1
A Fifth Of Beethoven,Saturday Night Fever (The Original Movie Soundtrack),Various Artists,1976,182533,0.6920000000000001,0.292,0.508,0.759,0.061,-13.3,0.0426,108.75,4,0
Sara Smile,Daryl Hall & John Oates (The Silver Album),Daryl Hall & John Oates,1976,185293,0.5920000000000001,0.354,0.397,0.0008939999999999999,0.11900000000000001,-10.81,0.0676,150.03799999999998,3,2
Afternoon Delight,Starland Vocal Band,Starland Vocal Band,1976,193040,0.491,0.529,0.439,0.0,0.102,-11.67,0.0301,147.062,4,0
I Write The Songs,The Greatest Songs Of The Seventies,Barry Manilow,1976,239186,0.397,0.835,0.381,0.0,0.0829,-8.552999999999999,0.0294,148.649,4,0
Fly Robin Fly,Silver Convention - Fly Robin Fly,Silver Convention,1976,230920,0.826,0.00719,0.406,0.731,0.0725,-14.152999999999999,0.0317,100.27799999999999,4,1
Love Hangover - Single Version,Diana Ross (Expanded Edition),Diana Ross,1976,229373,0.5,0.306,0.7609999999999999,0.0059299999999999995,0.0431,-9.5,0.0415,111.539,4,0
Get Closer,Get Closer,Seals and Crofts,1976,238146,0.653,0.434,0.43700000000000006,6.74e-05,0.0689,-12.640999999999998,0.027999999999999997,96.469,4,0
"More, More, More","More, More, More",Andrea True Connection,1976,222613,0.6629999999999999,0.517,0.792,0.000139,0.111,-5.476,0.0311,103.009,4,1
Bohemian Rhapsody - Remastered 2011,A Night At The Opera (Deluxe Remastered Version),Queen,1976,354320,0.392,0.28800000000000003,0.402,0.0,0.243,-9.961,0.0536,143.88299999999998,4,0
Misty Blue,Misty Blue,Dorothy Moore,1976,222400,0.39,0.7,0.23600000000000002,0.00795,0.0843,-14.687999999999999,0.0291,173.15400000000002,3,2
Boogie Fever,Classic Masters,The Sylvers,1976,208000,0.925,0.19,0.875,0.00495,0.0287,-5.742999999999999,0.0371,132.8,4,1
Tonight's the Night (Gonna Be Alright) - 2009 Remaster,A Night on the Town (Deluxe Edition),Rod Stewart,1977,237120,0.55,0.336,0.514,0.125,0.382,-12.617,0.0523,136.542,3,2
I Just Want To Be Your Everything,Flowing Rivers,Andy Gibb,1977,225666,0.6509999999999999,0.16699999999999998,0.648,1.7e-05,0.192,-7.44,0.0346,97.01700000000001,4,1
Best of My Love,The Best Of The Emotions: Best Of My Love,The Emotions,1977,219933,0.764,0.45,0.57,0.36200000000000004,0.0812,-11.360999999999999,0.0348,115.376,4,1
"Evergreen (Love Theme from, ""A Star Is Born"")",A Star Is Born,Barbra Streisand,1977,184800,0.335,0.932,0.303,0.0271,0.0907,-10.943,0.0315,114.22399999999999,4,0
I Like Dreamin',All-Time Greatest Performances,Kenny Nolan,1977,212066,0.391,0.47,0.503,2.7600000000000003e-05,0.0667,-11.629000000000001,0.0337,136.963,4,0
Don't Leave Me This Way - Single Version,Motown 1970s Vol. 1,Various Artists,1977,218773,0.546,0.198,0.6559999999999999,1.79e-06,0.0813,-11.520999999999999,0.0649,121.045,4,0
(Your Love Has Lifted Me) Higher And Higher,Delta Lady / The Anthology,Rita Coolidge,1977,241733,0.628,0.055,0.677,0.0234,0.14400000000000002,-8.913,0.0352,117.59100000000001,4,1
Undercover Angel - Rerecorded Version,The Wonderful World of the 70's: 100 Hit Songs,Various Artists,1977,217440,0.672,0.321,0.527,0.0,0.0756,-9.94,0.0374,103.12200000000001,4,0
Torn Between Two Lovers,Just Mary,Mary MacGregor,1977,231732,0.551,0.898,0.479,0.0901,0.14800000000000002,-9.2,0.0301,130.248,4,0
I'm Your Boogie Man,"KC & the Sunshine Band, Pt. 3... and More",KC & The Sunshine Band,1977,242133,0.753,0.0144,0.753,4.429999999999999e-05,0.0711,-13.023,0.0436,113.068,4,1
Dancing Queen,Arrival,ABBA,1977,230693,0.539,0.382,0.884,0.0016600000000000002,0.76,-6.53,0.0403,100.81200000000001,4,1
You Make Me Feel Like Dancing - Remastered,Very Best Of Leo Sayer,Leo Sayer,1977,172586,0.746,0.106,0.677,5.08e-06,0.12300000000000001,-7.127999999999999,0.0369,95.601,4,1
Margaritaville,Songs You Know By Heart,Jimmy Buffett,1977,249200,0.7929999999999999,0.634,0.474,0.0005099999999999999,0.0951,-15.902999999999999,0.0378,125.14299999999999,4,0
Telephone Line,A New World Record,Electric Light Orchestra,1977,280360,0.467,0.7709999999999999,0.36700000000000005,2.27e-05,0.0847,-8.164,0.0298,70.85600000000001,4,0
Whatcha Gonna Do?,20th Century Masters: The Millennium Collection: Best of Pablo Cruise,Pablo Cruise,1977,256959,0.727,0.0681,0.652,0.000122,0.17,-9.746,0.038,110.63600000000001,4,1
Do You Wanna Make Love - Rerecorded Version,The Wonderful World of the 70's: 100 Hit Songs,Various Artists,1977,204400,0.552,0.177,0.451,0.0,0.1,-10.993,0.0317,112.70299999999999,4,0
Sir Duke,Songs In The Key Of Life,Stevie Wonder,1977,234093,0.5760000000000001,0.16,0.579,0.0,0.0777,-9.628,0.0769,106.978,4,0
Hotel California - 2013 Remaster,Hotel California (2013 Remaster),Eagles,1977,391376,0.579,0.0057399999999999994,0.508,0.0004940000000000001,0.0575,-9.484,0.027000000000000003,147.125,4,0
Got To Give It Up (Part 1),Number 1's,Marvin Gaye,1977,252360,0.867,0.0687,0.915,0.00135,0.34700000000000003,-6.593,0.0487,122.678,4,1
Shadow Dancing,Shadow Dancing,Andy Gibb,1978,276000,0.74,0.15,0.598,0.0,0.0664,-9.658,0.0321,101.93299999999999,4,1
Night Fever,Number Ones,Bee Gees,1978,209400,0.696,0.013999999999999999,0.7829999999999999,0.000101,0.0794,-6.341,0.0291,109.18299999999999,4,1
You Light Up My Life,The Best Of Debby Boone,Debby Boone,1978,218933,0.322,0.855,0.282,1.04e-05,0.163,-12.515999999999998,0.0301,77.47,3,2
