Name,Album,Artist,Popular_date,Length,Danceability,Acousticness,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature,k_cluster
867-5309 / Jenny,Tommy Tutone - 2,Tommy Tutone,1982,226200,0.584,0.0264,0.708,0.00364,0.11199999999999999,-10.039,0.0593,137.657,4,1
You Should Hear How She Talks About You,Hey Ricky,Melissa Manchester,1982,256386,0.753,0.212,0.8340000000000001,2.9299999999999997e-05,0.259,-6.516,0.115,131.909,4,1
Don't Talk to Strangers,Success Hasn't Spoiled Me,Rick Springfield,1982,180360,0.8,0.29100000000000004,0.7120000000000001,0.0,0.145,-9.472000000000001,0.0419,123.211,4,1
Billie Jean,Thriller,Michael Jackson,1983,294226,0.932,0.0173,0.457,0.0436,0.0414,-9.62,0.0541,117.00200000000001,4,1
Flashdance... What A Feeling,Flashdance... What A Feeling,Irene Cara,1983,234040,0.637,0.138,0.63,3.79e-06,0.214,-8.166,0.0372,124.913,4,1
Down Under,Business As Usual,Men At Work,1983,222320,0.7390000000000001,0.129,0.45899999999999996,0.0194,0.0474,-14.42,0.0294,107.115,4,1
Beat It,Thriller,Michael Jackson,1983,258399,0.7759999999999999,0.0242,0.711,0.00035299999999999996,0.23399999999999999,-9.03,0.0473,138.72799999999998,4,1
Maneater,H2O,Daryl Hall & John Oates,1983,271893,0.727,0.0351,0.685,4.429999999999999e-05,0.0973,-7.159,0.0398,88.75,4,1
Maniac - BOF Flashdance,80's Pop Number 1's,Various Artists,1983,247440,0.6509999999999999,0.019,0.639,0.0,0.0522,-7.836,0.0583,157.738,4,1
Sweet Dreams (Are Made of This) - Remastered,Sweet Dreams (Are Made Of This),Eurythmics,1983,216933,0.6920000000000001,0.225,0.711,0.0,0.12,-7.497999999999999,0.0317,125.135,4,1
She Works Hard For The Money,She Works Hard For The Money,Donna Summer,1983,320840,0.758,0.00486,0.638,0.0141,0.0938,-13.01,0.0378,136.502,4,1
Hungry Like the Wolf - 2009 Remaster,Rio (Collector's Edition),Duran Duran,1983,220626,0.691,0.0433,0.812,1.16e-06,0.299,-7.772,0.0558,127.568,4,1
Twilight Zone,Cut,Golden Earring,1983,478106,0.6559999999999999,0.00785,0.7559999999999999,3.4899999999999995e-05,0.0927,-6.516,0.0399,118.56,4,1
I Know There's Something Going On,Something's Going On (Remastered),Frida,1983,326746,0.59,0.0432,0.7959999999999999,0.33899999999999997,0.0808,-8.228,0.0356,109.01799999999999,4,1
When Doves Cry,Purple Rain,Prince,1984,352906,0.7290000000000001,0.0102,0.9890000000000001,4.45e-05,0.44299999999999995,-4.613,0.049,126.47,4,1
What's Love Got to Do with It - 2015 Remaster,Private Dancer (30th Anniversary Issue),Tina Turner,1984,230240,0.855,0.254,0.48,2.1600000000000003e-05,0.151,-8.902000000000001,0.0588,97.79299999999999,4,1
Say Say Say - Remastered 2015,Pipes Of Peace,Paul McCartney,1984,235693,0.8220000000000001,0.115,0.6859999999999999,0.000982,0.0463,-10.456,0.0472,117.743,4,1
"Footloose - From ""Footloose"" Soundtrack",Footloose (15th Anniversary Collectors' Edition),Various Artists,1984,226826,0.583,0.0984,0.905,0.00018999999999999998,0.0593,-6.132000000000001,0.0733,173.982,4,1
Jump,1984,Van Halen,1984,239560,0.547,0.0745,0.8220000000000001,0.00943,0.0645,-7.2010000000000005,0.0292,130.138,4,1
Owner of a Lonely Heart,90125 (Deluxe Version),Yes,1984,268506,0.7440000000000001,0.175,0.7979999999999999,0.00367,0.26,-5.981,0.0364,125.061,4,1
Ghostbusters,Ghostbusters (Original Motion Picture Soundtrack),Various Artists,1984,245600,0.787,0.0192,0.588,0.0205,0.34700000000000003,-14.228,0.0355,115.51299999999999,4,1
Karma Chameleon - Remastered,Colour By Numbers,Culture Club,1984,252773,0.6679999999999999,0.225,0.73,0.0,0.188,-7.182,0.0366,92.04899999999999,4,1
All Night Long (All Night) - Single Version,The Definitive Collection,Lionel Richie,1984,260426,0.7390000000000001,0.122,0.5760000000000001,0.00206,0.0482,-12.024000000000001,0.0472,108.81,4,1
"Let's Hear It for the Boy - From ""Footloose"" Soundtrack",Footloose (15th Anniversary Collectors' Edition),Various Artists,1984,261893,0.7829999999999999,0.177,0.573,8.499999999999999e-05,0.043,-8.521,0.0462,122.744,4,1
Dancing In the Dark,Born In The U.S.A.,Bruce Springsteen,1984,241306,0.527,0.0115,0.9420000000000001,0.0,0.188,-5.64,0.0366,148.72299999999998,4,1
Girls Just Want to Have Fun,She's So Unusual: A 30th Anniversary Celebration (Deluxe Edition),Cyndi Lauper,1984,238120,0.7070000000000001,0.214,0.7879999999999999,0.000571,0.308,-5.269,0.0333,120.465,4,1
The Reflex,Seven and the Ragged Tiger,Duran Duran,1984,266933,0.556,0.12300000000000001,0.9,0.0,0.5710000000000001,-6.11,0.09699999999999999,126.686,4,1
Jump (For My Love),Break Out,The Pointer Sisters,1984,267226,0.8420000000000001,0.161,0.6970000000000001,0.000101,0.583,-13.796,0.0654,134.533,4,1
Talking In Your Sleep,In Heat,The Romantics,1984,235093,0.72,0.0289,0.9670000000000001,0.00034500000000000004,0.142,-4.434,0.0343,129.766,4,1
Self Control,Self Control,Laura Branigan,1984,246440,0.8140000000000001,0.21899999999999997,0.6859999999999999,0.0038200000000000005,0.155,-12.172,0.0342,106.679,4,1
Like a Virgin,Like a Virgin (Reissue),Madonna,1985,218626,0.773,0.20199999999999999,0.6559999999999999,0.00323,0.0697,-10.88,0.0381,119.75399999999999,4,1
I Feel for You - Remix,Life Is a Dance / Remix Project,Chaka Khan,1985,300733,0.745,0.0086,0.9279999999999999,0.344,0.231,-8.65,0.0672,125.259,4,1
Out of Touch - Video Mix,Big Bam Boom,Daryl Hall & John Oates,1985,261933,0.777,0.0831,0.732,0.000915,0.0585,-8.404,0.0331,114.885,4,1
Everybody Wants To Rule The World,Songs From The Big Chair (Super Deluxe Edition),Tears For Fears,1985,251488,0.645,0.34700000000000003,0.795,0.00389,0.10400000000000001,-12.095,0.0527,112.06700000000001,4,1
Money for Nothing,Sultans of Swing - the Very Best of Dire Straits,Dire Straits,1985,249706,0.679,0.0856,0.679,8.54e-06,0.0592,-9.746,0.0352,134.234,4,1
Crazy for You,Something to Remember,Madonna,1985,224520,0.6659999999999999,0.122,0.7140000000000001,0.0,0.128,-6.575,0.0294,94.99799999999999,4,1
Take on Me,Hunting High and Low,a-ha,1985,225280,0.573,0.018000000000000002,0.902,0.00125,0.0928,-7.638,0.054000000000000006,84.412,4,1
Every Time You Go Away - Radio Edit,From Time To Time - The Singles Collection,Paul Young,1985,267000,0.5720000000000001,0.187,0.721,7.41e-06,0.21600000000000003,-8.959,0.0402,164.252,4,1
Easy Lover,Chinese Wall (Expanded Edition),Philip Bailey,1985,305866,0.74,0.105,0.9229999999999999,0.00016299999999999998,0.0825,-5.082,0.0369,128.871,4,1
We Built This City,Knee Deep In The Hoopla,Starship,1985,296080,0.6609999999999999,0.052000000000000005,0.9079999999999999,0.0,0.0708,-4.897,0.039,144.091,4,1
The Power Of Love,Greatest Hits: Huey Lewis And The News,Huey Lewis & The News,1985,234333,0.768,0.0964,0.8290000000000001,2.9199999999999998e-05,0.09699999999999999,-5.109,0.0313,118.773,4,1
Don't You (Forget About Me),Once Upon A Time (Deluxe),Simple Minds,1985,263040,0.66,0.168,0.816,0.0181,0.0608,-6.61,0.0299,111.346,4,1
"The Heat Is On - From ""Beverly Hills Cop"" Soundtrack",Solo Collection,Glenn Frey,1985,225506,0.649,0.11,0.857,1.21e-05,0.0871,-7.015,0.044000000000000004,149.583,4,1
How Will I Know,Whitney Houston,Whitney Houston,1986,275533,0.8320000000000001,0.201,0.544,0.000139,0.632,-12.697000000000001,0.0442,119.49,4,1
Party All the Time,How Could It Be,Eddie Murphy,1986,253293,0.6990000000000001,0.00979,0.6920000000000001,0.00032599999999999996,0.0427,-13.045,0.0456,135.03,4,1
"Burning Heart - From ""Rocky IV"" Soundtrack",Rocky IV,Various Artists,1986,230720,0.6509999999999999,0.221,0.665,7.91e-06,0.0403,-7.43,0.0269,97.99600000000001,4,1
West End Girls - 2001 Remaster,Please: Further Listening 1984-1986,Pet Shop Boys,1986,245360,0.648,0.0114,0.9470000000000001,0.0567,0.105,-6.617000000000001,0.0369,113.255,4,1
Kiss,Parade - Music from the Motion Picture Under the Cherry Moon,Prince,1986,226240,0.898,0.0135,0.271,0.0013800000000000002,0.0461,-12.238,0.091,111.485,4,1
